problem_statement,problem_tags
Polycarp is an organizer of a Berland ICPC regional event There are n universities in Berland numbered from 1 to n Polycarp knows all competitive programmers in the region There are n students the i th student is enrolled at a university u i and has a programming skill s i Polycarp has to decide on the rules now In particular the number of members in the team Polycarp knows that if he chooses the size of the team to be some integer k each university will send their k strongest with the highest programming skill s students in the first team the next k strongest students in the second team and so on If there are fewer than k students left then the team can t be formed Note that there might be universities that send zero teams The strength of the region is the total skill of the members of all present teams If there are no teams present then the strength is 0 Help Polycarp to find the strength of the region for each choice of k from 1 to n ,"[1, 0, 0, 0, 1]"
There is a game where you need to move through a labyrinth The labyrinth consists of n platforms connected by m passages Each platform is at some level l i an integer number from 0 to H 1 In a single step if you are currently on platform i you can stay on it or move to another platform j To move to platform j they have to be connected by the passage and their levels have to be the same namely l i l j After each step the levels of all platforms change The new level of platform i is calculated as l i l i s i bmod H for all i You start on platform 1 Find the minimum number of steps you need to get to platform n ,"[0, 1, 0, 0, 0]"
You are given a string consisting of lowercase Latin letters You have to type this string using your keyboard Initially you have an empty string Until you type the whole string you may perform the following operation add a character to the end of the string Besides you may perform one additional operation copy the string and append it to itself For example if you have to type string you can type it in operations if you type all the characters one by one However you can type it in operations if you type the string first and then copy it and type the last character If you have to type string the best option is to type characters one by one then copy the string and then type the remaining character Print the minimum number of operations you need to type the given string ,"[0, 0, 1, 0, 0]"
Four players participate in the playoff tournament The tournament is held according to the following scheme the first player will play with the second and the third player with the fourth then the winners of the pairs will play in the finals of the tournament It is known that in a match between two players the one whose skill is greater will win The skill of the i th player is equal to s i and all skill levels are pairwise different i e there are no two identical values in the array s The tournament is called if the two players with the highest skills meet in the finals Determine whether the given tournament is ,"[0, 0, 1, 0, 0]"
Little Petya very much likes playing with little Masha Recently he has received a game called Zero One as a gift from his mother Petya immediately offered Masha to play the game with him Before the very beginning of the game several cards are lain out on a table in one line from the left to the right Each card contains a digit 0 or 1 Players move in turns and Masha moves first During each move a player should remove a card from the table and shift all other cards so as to close the gap left by the removed card For example if before somebody s move the cards on the table formed a sequence 01101 then after the fourth card is removed the cards are numbered starting from 1 the sequence will look like that 01101 The game ends when exactly two cards are left on the table The digits on these cards determine the number in binary notation the most significant bit is located to the left Masha s aim is to minimize the number and Petya s aim is to maximize it An unpleasant accident occurred before the game started The kids spilled juice on some of the cards and the digits on the cards got blurred Each one of the spoiled cards could have either 0 or 1 written on it Consider all possible variants of initial arrangement of the digits before the juice spilling For each variant let s find which two cards are left by the end of the game assuming that both Petya and Masha play optimally An ordered pair of digits written on those two cards is called an Your task is to find the set of outcomes for all variants of initial digits arrangement ,"[1, 0, 0, 0, 0]"
It is a very important day for Katya She has a test in a programming class As always she was given an interesting problem that she solved very fast Can you solve that problem You are given n ordered segments sets Each segment can be represented as a pair of two integers l r where l leq r Each set can contain an arbitrary number of segments even 0 It is possible that some segments are equal You are also given m queries each of them can be represented as four numbers a b x y For each segment find out whether it is true that each set p a leq p leq b contains at least one segment l r that lies entirely on the segment x y that is x leq l leq r leq y Find out the answer to each query Note that you need to solve this problem That is you will get a new query only after you print the answer for the previous query ,"[0, 0, 0, 0, 1]"
You are given a special undirected graph It consists of 2n vertices numbered from 1 to 2n The following properties hold for the graph there are exactly 3n 2 edges in the graph n edges connect vertices having odd numbers with vertices having even numbers n 1 edges connect vertices having odd numbers with each other and n 1 edges connect vertices having even numbers with each other for each edge u v between a pair of vertices with odd numbers there exists an edge u 1 v 1 and vice versa for each odd number u in 1 2n 1 there exists an edge u u 1 the graph is connected moreover if we delete all vertices with even numbers from it and all edges incident to them the graph will become a tree the same applies to deleting odd vertices So the graph can be represented as two trees having the same structure and n edges connecting each vertex of the first tree to the corresponding vertex of the second tree Edges of the graph are weighted The length of some simple path in the graph is the sum of weights of traversed edges You are given q queries to this graph in each query you are asked to compute the length of the shortest path between some pair of vertices in this graph Can you answer all of the queries ,"[0, 0, 0, 0, 1]"
You are given a binary string s of length n consisting of zeros and ones You can perform the following operation Choose an integer p 1 le p le n Reverse the substring s 1 s 2 ldots s p After this step the string s 1 s 2 ldots s n will become s p s p 1 ldots s 1 s p 1 s p 2 ldots s n Then perform a cyclic shift of the string s to the left p times After this step the initial string s 1s 2 ldots s n will become s p 1 s p 2 ldots s n s p s p 1 ldots s 1 For example if you apply the operation to the string with p 3 after the second step the string will become and after the third step it will become A string s is called if two conditions are met s 1 s 2 ldots s k s i k neq s i for any i 1 le i le n k For example with k 3 the strings and are k proper while the strings and are not You are given an integer k which of n Find an integer p 1 le p le n such that after performing the operation the string s becomes k proper or determine that it is impossible Note that if the string is initially k proper you still need to apply exactly one operation to it ,"[1, 0, 0, 1, 0]"
Spyofgame founder of Orzlim religionA long time ago Spyofgame invented the famous array a 1 indexed of length n that contains information about the world and life After that he decided to convert it into the matrix b 0 indexed of size n 1 times n 1 which contains information about the world life and beyond Spyofgame converted a into b with the following rules b i 0 0 if 0 leq i leq n b 0 i a i if 1 leq i leq n b i j b i j 1 oplus b i 1 j if 1 leq i j leq n Here oplus denotes the bitwise XOR operation Today archaeologists have discovered the famous matrix b However many elements of the matrix has been lost They only know the values of b i n for 1 leq i leq n note that these are some elements of the last not the last The archaeologists want to know what a possible array of a is Can you help them reconstruct any array that could be a ,"[0, 1, 0, 1, 0]"
Advertising has become part of our routine And now in the era of progressive technologies we need your ideas to make advertising better In this problem we ll look at a simplified version of context advertising You ve got a text consisting of exactly words A standard advertising banner has exactly lines each line can contain at most characters The potential customer always likes it when they can see lots of advertising so you should determine which maximum number of consecutive words from the text can be written on the banner Single words in one line of the banner should be separated by spaces You are allowed to insert more than one space at once Note that you are not allowed to break the words that is each word in the text must occupy exactly one line in the banner Besides you cannot change the word order that is if you read the banner text consecutively from top to bottom and from left to right you should get some consecutive part of the advertisement text More formally the statement can be written like that Let s say that all words are indexed from to in the order in which they occur in the advertisement text Then you have to choose all words starting from some th one and ending with some th one so that all of them could be written on the banner There must be as many words as possible See the samples for clarifications ,"[0, 0, 0, 1, 0]"
